segmentName,test_short_PESQ,test_short_STOI,test_short_SegSNR,test_short_DNSMOS_OVRL,test_short_DNSMOS_SIG,test_short_DNSMOS_BAK
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_1,4.644,1,-,3.42581814202338,3.68189043393337,4.10609900100048
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_2,4.644,1,-,3.04082210207478,3.36707874656704,3.96821551259617
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_3,4.644,1,-,3.33759431304138,3.65941705367392,3.97465015016323
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_4,4.644,1,-,3.34949486067819,3.61294497339909,4.10123715497829
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_5,4.644,1,-,3.42285030718499,3.66272598521333,4.14412299726287
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_6,4.644,1,-,3.23737977511814,3.53169106769306,4.03676742498022
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_7,4.644,1,-,3.22045639151577,3.53222387178788,4.03843598419351
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_8,4.644,1,-,3.06449316027701,3.42342628053263,3.90909446295026
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_9,4.644,1,-,2.79848878081939,3.13769525889202,3.82788633179714
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_10,4.644,1,-,3.20291573458456,3.50550190457983,4.01514637769853
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_11,4.644,1,-,3.42581814202338,3.68189043393337,4.10609900100048
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_12,4.644,1,-,3.04082210207478,3.36707874656704,3.96821551259617
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_13,4.644,1,-,3.33759431304138,3.65941705367392,3.97465015016323
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_14,4.644,1,-,3.34636652385675,3.61033342830988,4.099087350569
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_15,4.644,1,-,3.42285030718499,3.66272598521333,4.14412299726287
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_16,4.644,1,-,3.23737977511814,3.53169106769306,4.03676742498022
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_17,4.644,1,-,3.22045639151577,3.53222387178788,4.03843598419351
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_18,4.644,1,-,3.06449316027701,3.42342628053263,3.90909446295026
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_19,4.644,1,-,2.79848878081939,3.13769525889202,3.82788633179714
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_20,4.644,1,-,3.20291573458456,3.50550190457983,4.01514637769853
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_21,4.644,1,-,3.42581814202338,3.68189043393337,4.10609900100048
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_22,4.644,1,-,3.04082210207478,3.36707874656704,3.96821551259617
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_23,4.644,1,-,3.33759431304138,3.65941705367392,3.97465015016323
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_24,4.644,1,-,3.34636652385675,3.61033342830988,4.099087350569
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_25,4.644,1,-,3.42285030718499,3.66272598521333,4.14412299726287
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_26,4.644,1,-,3.23737977511814,3.53169106769306,4.03676742498022
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_27,4.644,1,-,3.22045639151577,3.53222387178788,4.03843598419351
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_28,4.644,1,-,3.06449316027701,3.42342628053263,3.90909446295026
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_29,4.644,1,-,2.79848878081939,3.13769525889202,3.82788633179714
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_30,4.644,1,-,3.20291573458456,3.50550190457983,4.01514637769853
p245_017_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_31,4.644,1,-,3.42581814202338,3.68189043393337,4.10609900100048
p248_211_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_32,4.644,1,-,3.04082210207478,3.36707874656704,3.96821551259617
p245_314_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_33,4.644,1,-,3.33759431304138,3.65941705367392,3.97465015016323
p226_203_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_34,4.644,1,-,3.35322993139517,3.61576953685541,4.10480667890975
p272_029_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_35,4.644,1,-,3.42285030718499,3.66272598521333,4.14412299726287
p265_060_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_36,4.644,1,-,3.23737977511814,3.53169106769306,4.03676742498022
p240_237_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_37,4.644,1,-,3.22045639151577,3.53222387178788,4.03843598419351
p272_338_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_38,4.644,1,-,3.06449316027701,3.42342628053263,3.90909446295026
p240_051_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_39,4.644,1,-,2.79848878081939,3.13769525889202,3.82788633179714
p240_309_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_40,4.644,1,-,3.20291573458456,3.50550190457983,4.01514637769853
p245_017_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_41,4.644,1,-,3.42581814202338,3.68189043393337,4.10609900100048
p248_211_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_42,4.644,1,-,3.04082210207478,3.36707874656704,3.96821551259617
p245_314_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_43,4.644,1,-,3.33759431304138,3.65941705367392,3.97465015016323
p226_203_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_44,4.644,1,-,3.34636652385675,3.61033342830988,4.099087350569
p272_029_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_45,4.644,1,-,3.42285030718499,3.66272598521333,4.14412299726287
p265_060_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_46,4.644,1,-,3.23737977511814,3.53169106769306,4.03676742498022
p240_237_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_47,4.644,1,-,3.22045639151577,3.53222387178788,4.03843598419351
p272_338_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_48,4.644,1,-,3.06449316027701,3.42342628053263,3.90909446295026
p240_051_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_49,4.644,1,-,2.79848878081939,3.13769525889202,3.82788633179714
p240_309_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_5dB_SNR_50,4.644,1,-,3.20291573458456,3.50550190457983,4.01514637769853
p245_017_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_51,4.644,1,-,3.42581814202338,3.68189043393337,4.10609900100048
p248_211_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_52,4.644,1,-,3.04082210207478,3.36707874656704,3.96821551259617
p245_314_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_53,4.644,1,-,3.33759431304138,3.65941705367392,3.97465015016323
p226_203_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_54,4.644,1,-,3.34636652385675,3.61033342830988,4.099087350569
p272_029_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_55,4.644,1,-,3.42285030718499,3.66272598521333,4.14412299726287
p265_060_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_56,4.644,1,-,3.23737977511814,3.53169106769306,4.03676742498022
p240_237_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_57,4.644,1,-,3.22045639151577,3.53222387178788,4.03843598419351
p272_338_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_58,4.644,1,-,3.06449316027701,3.42342628053263,3.90909446295026
p240_051_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_59,4.644,1,-,2.79848878081939,3.13769525889202,3.82788633179714
p240_309_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_10dB_SNR_60,4.644,1,-,3.20291573458456,3.50550190457983,4.01514637769853
p245_017_Pub_Noise_Binaural_V2_0dB_SNR_61,4.644,1,-,3.42581814202338,3.68189043393337,4.10609900100048
p248_211_Pub_Noise_Binaural_V2_0dB_SNR_62,4.644,1,-,3.04082210207478,3.36707874656704,3.96821551259617
p245_314_Pub_Noise_Binaural_V2_0dB_SNR_63,4.644,1,-,3.33759431304138,3.65941705367392,3.97465015016323
p226_203_Pub_Noise_Binaural_V2_0dB_SNR_64,4.644,1,-,3.36245941157687,3.62162256977876,4.11638240091992
p272_029_Pub_Noise_Binaural_V2_0dB_SNR_65,4.644,1,-,3.42285030718499,3.66272598521333,4.14412299726287
p265_060_Pub_Noise_Binaural_V2_0dB_SNR_66,4.644,1,-,3.23737977511814,3.53169106769306,4.03676742498022
p240_237_Pub_Noise_Binaural_V2_0dB_SNR_67,4.644,1,-,3.22045639151577,3.53222387178788,4.03843598419351
p272_338_Pub_Noise_Binaural_V2_0dB_SNR_68,4.644,1,-,3.06449316027701,3.42342628053263,3.90909446295026
p240_051_Pub_Noise_Binaural_V2_0dB_SNR_69,4.644,1,-,2.79848878081939,3.13769525889202,3.82788633179714
