segmentName,test_short_enhMagn_SMWA_PESQ,test_short_enhMagn_SMWA_STOI,test_short_enhMagn_SMWA_SegSNR,test_short_enhMagn_SMWA_DNSMOS_OVRL,test_short_enhMagn_SMWA_DNSMOS_SIG,test_short_enhMagn_SMWA_DNSMOS_BAK
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_1,3.587,0.781718802568802,4.25754903337893,3.2874533313326,3.58135754702411,4.06033730980081
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_2,3.404,0.867248758221902,4.84723739856731,3.01664793931823,3.34388709094613,3.9713836996785
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_3,3.55,0.653080174823923,4.33456604260514,3.26955605271909,3.60875524498395,3.95604008656159
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_4,3.517,0.918681726370882,4.75635029249056,3.29388792341758,3.54944990098532,4.09545956488047
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_5,2.377,0.856454243099039,7.01089532719758,3.32642690527028,3.60181883649917,4.10158701393148
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_6,3.875,0.731101163676563,5.98783183718129,3.11024839749626,3.39609781278222,4.04373434487976
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_7,3.579,0.716413378850451,5.97462722303595,3.04064749601456,3.39262029223367,3.90660012591094
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_8,3.375,0.592106563666933,2.85760304528179,3.14480861620026,3.4425339556618,4.02901793649141
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_9,3.339,0.649997819541505,3.46367067683806,2.89264208071399,3.17386614604093,3.96809510066878
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_10,3.355,0.818714299365144,5.41418382377624,3.16140617499237,3.44505095351495,4.06640665006086
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_11,3.773,0.771980699097013,5.89037335877302,3.36869993946305,3.64872076795153,4.0604501827563
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_12,3.448,0.89891836612222,4.93240517512203,3.07762941312847,3.39591847400007,4.00245866905631
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_13,3.724,0.66853032994433,5.58908890152392,3.31360031257367,3.63582615425246,3.96092913991007
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_14,3.687,0.931043715252351,5.78309906250084,3.36164734489144,3.62203265995997,4.11395256037065
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_15,3.606,0.871409649524452,8.82515295984139,3.35017785219734,3.60334187668637,4.1224331377667
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_16,4.039,0.752153570434419,7.09048318528756,3.09828293599911,3.39232464329578,4.02548185064183
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_17,3.623,0.736696643266271,6.65571963183847,3.34297205087196,3.61075540254609,4.12351398417107
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_18,3.639,0.625811684845725,3.13815904633833,3.18021053720877,3.47669815019558,4.04767915620121
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_19,3.345,0.65912269690601,3.84461658514727,2.86581710992874,3.15285312180359,3.95005700284785
