segmentName,test_short_PESQ,test_short_STOI,test_short_SegSNR,test_short_DNSMOS_OVRL,test_short_DNSMOS_SIG,test_short_DNSMOS_BAK
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_1,3.239,0.75651578260418,5.79823510091507,3.23557223273841,3.49367284900587,4.09426612882477
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_2,3.349,0.859127136849304,5.39450734293384,2.69138723555085,2.99672720704152,3.94665907979635
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_3,2.988,0.636285459105595,5.39730342383175,3.26509397119265,3.59010464538458,3.97857037418145
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_4,3.324,0.913474407331102,5.58415052347979,3.24022779985533,3.49749365176305,4.08925282145231
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_5,3.285,0.853020691541081,8.10567505904821,3.09810162787851,3.40177452429291,4.00302868126965
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_6,3.38,0.713410709101005,6.3261162155919,2.95323914349701,3.24549370720739,3.99326676950497
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_7,3.008,0.690668417490938,5.67881732437066,3.13998395546872,3.40023180164803,4.06882862210302
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_8,2.684,0.566333455756744,3.29695820524655,3.11360288939021,3.37958211668944,4.05215115683005
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_9,2.726,0.619493362809006,3.37493921938457,2.89353725865999,3.15568824986929,3.99418518302039
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_10,2.756,0.778112034089825,4.8506133492738,2.85375752163077,3.12624689623917,3.96649150616867
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_11,3.489,0.769191608589623,6.85313205998875,3.28020331916398,3.52396662448234,4.12055641745162
