segmentName,test_short_SMWA_PESQ,test_short_SMWA_STOI,test_short_SMWA_SegSNR,test_short_SMWA_DNSMOS_OVRL,test_short_SMWA_DNSMOS_SIG,test_short_SMWA_DNSMOS_BAK
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_1,3734,0.780488565355143,3.80084625688059,3.34577623252759,3.63177715050521,4.05828893625329
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_2,3679,0.878483842150087,4.42113251164617,2.96119947000374,3.29909985026547,3.92857579170513
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_3,3436,0.634140445785677,4.08004047870846,3.20240166566437,3.61839310434752,3.80273185175789
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_4,3702,0.915673851461108,4.46756693347064,3.32158104205523,3.58054240046713,4.10915979870148
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_5,2778,0.865495417685045,7.34831413936932,3.28270701712534,3.55949855758717,4.09262169196948
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_6,4026,0.733075803274743,6.05546208670596,3.07339308139741,3.36018286927663,4.0456780105439
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_7,3615,0.705454404043874,6.00456491931443,3.04817829841168,3.37051712907908,3.95202837789103
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_8,3778,0.606953299829359,2.86375125031396,3.09424369293219,3.40018496552989,4.01566477498754
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_9,3827,0.637412928744405,3.34570033111653,2.9477493116158,3.24169941952168,3.95871940518512
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_10,3.55,0.811891904567493,5.22057502018949,3.05475570353401,3.34820381554486,4.01368541923098
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_11,3906,0.770114616342433,5.66600874092573,3.35426621094008,3.62988681454627,4.07007762506294
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_12,4012,0.900221685391141,5.34547050048504,3.09813137632478,3.41236100701277,4.00673746416543
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_13,3859,0.651171408222088,5.59805311795396,3.27094871519759,3.66839780414834,3.7928479375603
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_14,3819,0.926152835606683,5.77633916632085,3.40165142080395,3.64677947524055,4.13400431792265
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_15,3019,0.877161631543155,8.93474777847477,3.26610081917048,3.532297691851,4.10898524351271
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_16,4272,0.74778972077487,6.9563402537057,3.12669161046873,3.41105271230415,4.04714764683385
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_17,3802,0.718499711809788,6.56144541621409,3.33450285705971,3.59856051919834,4.12881027956719
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_18,3963,0.606944740239339,3.17837241626221,3.17808577136101,3.44914369287384,4.08794208160321
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_19,3952,0.643718071376422,3.86312663167325,2.88587609176965,3.18047522279649,3.9549907420937
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_20,3819,0.827618600979985,6.44857666826718,3.25007670989588,3.5143635633846,4.10934641302602
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_21,4098,0.783592262747501,7.18876907799111,3.40282281142332,3.66300240824613,4.09376505514148
