segmentName,test_short_noisyPhase_PESQ,test_short_noisyPhase_STOI,test_short_noisyPhase_SegSNR,test_short_noisyPhase_DNSMOS_OVRL,test_short_noisyPhase_DNSMOS_SIG,test_short_noisyPhase_DNSMOS_BAK
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_1,3.661,0.776966416130042,2.97409816927936,3.28274348447841,3.5791970556556,4.05963989064851
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_2,3.313,0.869548137975335,2.99262637344655,2.96883913544271,3.33061770611305,3.89138721701008
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_3,3.513,0.635467854436648,3.55974977656059,3.23060397571269,3.60559692157365,3.90082722162523
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_4,3.662,0.914670989084407,3.70834836140714,3.24377416370319,3.52853861206287,4.06503316880894
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_5,2.539,0.858317105778232,6.69099945101794,3.31971331154028,3.58990663638076,4.11658694542251
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_6,3.804,0.742116148799134,5.06565994877545,3.11416924198326,3.43830487588972,3.99488492175383
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_7,3.591,0.710531060573168,5.55133269740875,3.22187565191342,3.52895442564606,4.04689032284496
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_8,3.701,0.61766477875791,1.99687673118773,3.09325969724243,3.44823135525349,3.92668597196209
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_9,3.641,0.654401117056546,2.52269216073078,2.84386161733733,3.15010970448141,3.91950244770046
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_10,3.292,0.802939007541468,4.82850741126532,3.11421186057651,3.42092406254793,4.00351659664219
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_11,3.949,0.771501010211798,4.41720563403654,3.32904031588289,3.61215787522585,4.07565325497163
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_12,3.612,0.89782952263123,4.0040222932457,3.11128523679111,3.4485358357698,3.99175726077286
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_13,3.75,0.66967416795334,4.74728961395129,3.25972344546983,3.65774410613411,3.85105991490716
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_14,3.76,0.92843246400284,5.2354187787525,3.37054409498968,3.64399871192756,4.10863390000963
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_15,3.743,0.878944845633701,8.63403801306551,3.30258946916897,3.5694538679593,4.10974482101441
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_16,4.128,0.760302774895676,6.22851041057292,3.13921966383685,3.4548274283461,3.99590840308772
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_17,3.728,0.707280479563284,6.49918352376824,3.31828966388167,3.62471974115823,4.069303825445
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_18,3.96,0.628111139554586,2.76702146249762,3.12414438743918,3.46885272173028,3.95748122870346
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_19,3.642,0.64403846136196,3.35792074453272,2.92619670167623,3.23519351946971,3.92748540384589
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_20,3.566,0.817296256258232,6.13629141236292,3.21975855694338,3.53891121799846,4.0099386229242
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_21,4.101,0.781521135984913,5.79706698198111,3.39687718063488,3.66375061975944,4.09911914820355
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_22,3.787,0.892730867937341,5.46892578579553,3.08239094993938,3.41334685366011,3.99505826044429
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_23,3.976,0.669995844628271,7.22075035151731,3.3440237303834,3.69570987116958,3.94354003930958
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_24,4.184,0.935968854516912,6.32171385007385,3.37366841466487,3.64614257343856,4.11130762275457
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_25,4.065,0.882350774499835,10.4670563224354,3.37297402532197,3.63308717338469,4.11145288126544
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_26,4.245,0.768550486592334,7.68009303946569,3.22025428252432,3.54135015883314,3.99249637631744
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_27,3.941,0.756970849550773,8.23814401744622,3.21457301467923,3.53567826735347,4.02395391294743
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_28,3.959,0.61958967389653,3.96908074672189,3.20007582131766,3.50353530559045,4.04636724543286
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_29,3.755,0.682136728640135,4.78819430464054,2.98960846262756,3.30039883099236,3.95709129473489
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_10dB_SNR_30,3.84,0.820146141320895,6.76857436701591,3.27719042925104,3.56926937040361,4.07063371379222
p245_017_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_31,3.375,0.730619507819869,2.05954929259127,3.22134245417062,3.53182882441525,4.04702123834426
p248_211_Outside_Traffic_Crossroads_binaural ( 0.00-20.00 s)_0dB_SNR_32,2.455,0.841345504067597,0.133982913171019,2.96046534431589,3.3062282984408,4.00299672926836
