segmentName,test_short_noisyPhase_PESQ,test_short_noisyPhase_STOI,test_short_noisyPhase_SegSNR,test_short_noisyPhase_DNSMOS_OVRL,test_short_noisyPhase_DNSMOS_SIG,test_short_noisyPhase_DNSMOS_BAK
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_1,3681,0.772467195856117,2.88261925826436,3.27736001662828,3.57760974874671,4.05266785628182
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_2,3426,0.861252828381826,3.01521719905882,3.00043367344219,3.36557073343323,3.88461906884846
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_3,3571,0.650378658177524,3.49218946966279,3.18826196904416,3.58730408594701,3.85565172127315
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_4,3.65,0.91391460732412,3.68379708342179,3.28513978082737,3.55846496543679,4.08071076288128
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_5,2622,0.862675517814015,6.69677081263826,3.3334083710411,3.59885327708027,4.1289251128035
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_6,3863,0.728728358466274,5.1079995383407,3.10182789373937,3.42647627335423,3.99190792113255
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_7,3577,0.698368764070611,5.62555593786076,3.18944296382989,3.51644976848535,4.00155621222418
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_8,3774,0.612042180198778,1.94351461030566,3.07764679568783,3.41303114245897,3.95581336842894
p240_051_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_9,3717,0.636723040489404,2.56504166350327,2.92305486692536,3.23566636400957,3.93526387043964
p240_309_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_0dB_SNR_10,3365,0.808307116078714,4.8686285099316,3.02729804356984,3.34765229148814,3.94602089393308
p245_017_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_11,4025,0.768678452457859,4.34001264343956,3.35173684491321,3.63151637609643,4.08703633181859
p248_211_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_12,3719,0.901082943430402,3.80022818738436,3.14917192643219,3.47993936548071,4.00532550633155
p245_314_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_13,3864,0.660851890547876,4.67382380241142,3.2433565212461,3.66875373984022,3.77731694273868
p226_203_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_14,3.81,0.929216611428821,5.15526748258209,3.37486993489993,3.64017027541245,4.12101905165315
p272_029_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_15,3826,0.87652158148346,8.65376183011807,3.30742393582365,3.573449112558,4.11432064665921
p265_060_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_16,4.16,0.758783904006401,6.22301068918406,3.12752346623614,3.45098755994894,3.97995910666994
p240_237_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_17,3782,0.716859262293717,6.5245719493341,3.32820599832155,3.63881289797885,4.06817003834656
p272_338_Midsize_Car2_100Kmh_binaural ( 0.00-30.00 s)_5dB_SNR_18,3915,0.627357503505345,2.70589155801266,3.16831823282492,3.51276525911081,3.95579386646319
